155704;3.92;6
805131;2.85;4
87327;3.95;3
336812;3.42;7
114434;3.56;8
114434;3.27;4
87327;3.22;8
145715;3.41;4
370505;3.27;5
190658;2.59;6
680750;3.24;3
114434;2.66;5
370505;3.80;2
234404;2.70;5
145715;3.90;6
884223;3.36;6
401790;2.63;3
277204;3.07;3
588160;3.24;1
590338;2.50;2
824757;3.85;3
584351;3.69;2
579390;3.71;6
155704;3.66;2
962219;3.03;6
824757;3.60;4
485133;3.29;4
190658;3.99;1
579390;3.76;1
895878;3.70;5
254065;2.94;7
590338;3.59;1
884223;3.79;3
584351;3.27;4
957390;2.96;3
895878;2.64;4
254065;3.53;6
957390;3.63;8
588160;2.95;5
507626;2.55;6
941644;3.56;5
507626;3.19;1
962219;2.63;4
579390;3.44;7
145715;3.23;3
507626;2.71;8
168349;2.54;5
87327;3.83;4
680750;3.73;6
155704;3.52;2
824757;2.52;2
155704;2.51;3
168349;2.51;8
